Date,Small size,Large,type,year,region
27/12/2015,1036.74,54454.85,conventional,2015,Albany
20/12/2015,674.28,44638.81,conventional,2015,Albany
13/12/2015,794.7,109149.67,conventional,2015,Albany
6/12/2015,1132,71976.41,conventional,2015,Albany
29/11/2015,941.48,43838.39,conventional,2015,Albany
22/11/2015,1184.27,48067.99,conventional,2015,Albany
15/11/2015,1368.92,73672.72,conventional,2015,Albany
8/11/2015,703.75,101815.36,conventional,2015,Albany
1/11/2015,1022.15,87315.57,conventional,2015,Albany
25/10/2015,842.4,64757.44,conventional,2015,Albany
18/10/2015,924.86,75595.85,conventional,2015,Albany
11/10/2015,1582.03,52677.92,conventional,2015,Albany
4/10/2015,2268.32,49880.67,conventional,2015,Albany
27/9/2015,1204.88,99409.21,conventional,2015,Albany
20/9/2015,1028.03,59313.12,conventional,2015,Albany
13/9/2015,985.73,65696.86,conventional,2015,Albany
6/9/2015,879.45,90062.62,conventional,2015,Albany
30/8/2015,689.01,94362.67,conventional,2015,Albany
23/8/2015,733.16,67933.79,conventional,2015,Albany
16/8/2015,539.65,68666.01,conventional,2015,Albany
9/8/2015,584.63,100961.46,conventional,2015,Albany
2/8/2015,509.94,62035.06,conventional,2015,Albany
26/7/2015,648.75,91949.05,conventional,2015,Albany
19/7/2015,1042.1,82049.4,conventional,2015,Albany
12/7/2015,672.25,94693.52,conventional,2015,Albany
5/7/2015,869.45,72600.55,conventional,2015,Albany
28/6/2015,664.23,57545.79,conventional,2015,Albany
21/6/2015,804.01,76688.55,conventional,2015,Albany
14/6/2015,850.58,55400.94,conventional,2015,Albany
7/6/2015,656.71,99220.82,conventional,2015,Albany
31/5/2015,922.37,70469.69,conventional,2015,Albany
24/5/2015,680.27,71376.81,conventional,2015,Albany
17/5/2015,1150.55,81955.16,conventional,2015,Albany
10/5/2015,1420.43,102000.52,conventional,2015,Albany
3/5/2015,919.87,45490.05,conventional,2015,Albany
26/4/2015,875.65,35841.75,conventional,2015,Albany
19/4/2015,774.15,33941.51,conventional,2015,Albany
12/4/2015,864.27,30374.15,conventional,2015,Albany
5/4/2015,961.77,35577.66,conventional,2015,Albany
29/3/2015,1402.28,58623.22,conventional,2015,Albany
